Weather_ID;complete_years;normal_hdd_yr;sd_between_years;min_year;max_year;cv
8jB;5;1359.0614465917051;142.44341411231264;1238.0284057971014;1590.568456521739;0.10481013531031763
HbsbG;3;1400.202565003727;143.68238900362712;1277.5607101449275;1558.2905347945862;0.1026154305061173
Hg;5;1356.7976590840576;141.35730639374094;1248.6149710144928;1589.9772318840583;0.10418451524243338
MqO;5;1952.2564696525064;182.11705834097992;1813.95;2243.146376811594;0.09328541673287219
ceOxS;5;1360.200848109459;156.08975278165536;1205.8194158737806;1597.5588115942026;0.11475492975806055
sV3mR;4;1401.8072032387765;147.7355033599146;1249.2755869565217;1598.6987937967829;0.10538931674668395
wDD;5;1479.3148793344674;146.7882430174346;1356.2674492753624;1719.0793623188406;0.09922717946531677
z6I;5;1324.2713312809547;137.2061138306519;1206.7471014492753;1552.6339420289853;0.10360876248671318
