Household_ID;area_m2;footprint_m2;n_storeys_above;heated_basement;era_raw;era;renovation_count;residents;hp_type;dhw_electric;installed_kw;building_type;visit_date;pv;label_correctly_planned;label_sizing_direction;label_curve_too_high;label_limit_too_high;label_night_setback;label_curve_changed;emitter;storey_sum_m2;storey_reconciles;geometry_complete;drop_reason;n_days;n_warm;n_cold;hdd_per_day;kwh_per_day;E_as_built;E_reference;deficiency;term_envelope;term_emitter;term_dhw;huellzahl;H_as_built;design_kw;jaz_as_built;deficiency_lo;deficiency_hi;band;decisive;tier;jaz_derived;pv_level;rank_in_era
120701;236.0;110.0;2;True;1986 - 90;1976_1990;0;2;ground-source;False;10.88;single family house;2016-10-13;False;True;;True;False;True;True;floor_only;236.0;True;True;;576;254;322;3.52981418578905;25.68823263888889;4344.48377862399;2533.3331946027583;1811.1505840212312;1811.1505840212312;0.0;0.0;1.8990609703641566;473.6871112047528;14.210613336142584;4.25;1367.0525838550109;2468.182691865485;1101.1301080104743;True;T1;False;no PV;15.0
706646;160.0;100.0;3;False;2000 - 10;2001_2010;0;4;air-source;True;6.1;single family house;2018-08-20;;True;;;False;False;;floor_only;160.0;True;True;;939;402;537;3.790436125387785;24.291996805111822;5685.349451381391;3232.843992041104;2452.5054593402874;529.748937601157;0.0;1922.7565217391304;2.9625;267.664;8.02992;3.5;2114.4391172420947;2890.5567337552625;776.1176165131678;True;T1;False;Unknown;2.0
1078861;160.0;70.0;1;True;< 1975;pre1975;0;2;ground-source;False;10.0;single family house;2018-10-17;True;True;;True;True;False;True;radiator_only;160.0;True;True;;393;317;76;0.5341745952723385;20.22842748091603;1182.298112310913;865.0749735333952;317.22313877751776;285.83483017677764;31.388308600740093;0.0;1.5033682768657517;402.79154780300235;12.08374643409007;3.4;257.49611375658515;522.0831158233327;264.5870020667476;True;T2;True;PV;37.0
190821;155.0;45.0;3;True;> 2010;post2010;0;4;ground-source;False;;single family house;2018-12-05;True;True;;True;False;True;True;floor_only;155.0;True;True;;1292;522;770;3.9551401545744156;13.514768575851392;2634.7492277984743;2705.228145051203;-70.47891725272848;-70.4789172527288;0.0;0.0;2.0714200557966205;152.68132607563427;4.580439782269028;4.25;-239.40498736514385;88.73608982949298;328.14107719463686;False;T1;False;PV;
105898;160.0;80.0;2;False;1981 - 85;1976_1990;1;2;air-source;False;10.0;single family house;2018-12-14;;True;;False;False;True;True;floor_only;160.0;True;True;;789;334;455;3.7449600944141364;39.92827249683143;3245.48910142853;2107.672346331511;1137.8167550970188;1137.8167550970188;0.0;0.0;1.9574767078498865;297.30139127918727;8.919041738375618;3.5;643.373459048798;1875.7942342753197;1232.4207752265215;True;T2;False;Unknown;55.0
1178890;210.0;100.0;2;True;2000 - 10;2001_2010;0;1;air-source;False;12.0;single family house;2019-01-14;;True;;False;False;False;;floor_only;210.0;True;True;;180;68;112;3.9353222222222226;26.44027222222222;2497.4759359741633;2064.6307248559524;432.84521111821095;432.845211118211;0.0;0.0;2.0;270.459;8.11377;3.5;233.30921534565874;765.7370800989696;532.4278647533108;True;T1;False;Unknown;25.0
731201;255.0;120.0;2;True;1976 - 80;1976_1990;2;3;air-source;False;10.78;single family house;2019-02-07;;True;;True;False;True;;both;255.0;True;True;;539;202;337;5.612336116264688;63.08366975881261;6451.952367859341;3941.0595508860542;2510.892816973287;2145.5022437874295;365.3905731858584;0.0;1.865765415893293;421.7708631579936;12.653125894739807;3.1;1026.808857688496;4812.811316004488;3786.002458315992;True;T2;False;Unknown;31.0
1228011;120.0;60.0;2;False;2000 - 10;2001_2010;0;3;air-source;True;10.0;single family house;2019-04-01;False;True;;True;False;False;;floor_only;120.0;True;True;;678;336;342;3.1753181993074255;21.941836283185843;3893.6999334176307;2171.413112716059;1722.2868207015717;280.2194293972238;0.0;1442.0673913043477;2.1442740046346698;161.47315222246417;4.844194566673925;3.5;1479.2362336658566;1964.2203986885786;484.984165022722;True;T1;False;no PV;13.0
114117;260.0;100.0;3;False;1991 - 95;1991_2000;0;2;air-source;True;24.0;single family house;2019-04-04;;True;;False;True;True;True;floor_only;260.0;True;True;;340;168;172;3.053833546462063;61.47519117647058;4066.870460722568;2292.358882830132;1774.511577892436;813.133317022871;0.0;961.3782608695652;1.823076923076923;387.55400000000003;11.62662;3.5;1557.4862075765795;2087.9957748767224;530.5095673001429;True;T1;False;Unknown;7.0
8627071;250.0;150.0;2;False;2000 - 10;2001_2010;0;3;ground-source;True;16.2;other;2019-05-02;;True;;False;True;True;False;both;250.0;True;True;;270;136;134;3.314391975308642;81.64951851851852;4509.136522351373;2493.394228253698;2015.7422940976749;395.07985510841866;178.595047684909;1442.0673913043477;1.958179568882333;317.7929568882333;9.533788706646998;3.7642857142857147;1628.8880258084532;2495.7049559812394;866.8169301727862;True;T2;True;Unknown;9.0
867211;245.0;150.0;2;True;1991 - 95;1991_2000;0;2;ground-source;True;10.6;single family house;2019-05-21;;True;;True;False;False;True;both;245.0;True;True;;718;339;379;3.190704069274555;14.443988857938718;5003.094690583482;2590.1459525308255;2412.948738052656;1212.7802560991702;238.79022108392118;961.3782608695652;2.2680861847988942;425.16011340165096;12.754803402049529;3.7642857142857147;1838.9852737802207;3138.5095653020685;1299.5242915218478;True;T2;True;Unknown;6.0
1114677;220.0;140.0;2;False;> 2010;post2010;0;3;air-source;True;11.3;single family house;2019-05-28;;True;;False;False;True;True;floor_only;220.0;True;True;;500;126;374;6.703276086956522;60.0459;5487.062179213872;4225.922945248519;1261.139233965353;-180.92815733899457;0.0;1442.0673913043477;2.1162483937722882;219.07591519117682;6.572277455735304;3.5;831.7963160484162;1673.6479706770297;841.8516546286135;True;T1;False;Unknown;1.0
611797;275.0;100.0;2;True;1976 - 80;1976_1990;2;2;air-source;True;35.0;single family house;2019-05-28;;False;oversized;False;True;False;;floor_only;275.0;True;True;;1130;480;650;3.7071054828780303;33.10231592920354;5118.233748506368;2868.740626947766;2249.493121558602;1288.1148606890376;0.0;961.3782608695652;1.5272727272727273;396.6725;11.900175;3.5;1254.068328213018;3689.468482900521;2435.400154687503;True;T2;False;Unknown;23.0
