Household_ID;era;visit_status;technician_recoverable_envelope_kwh;slope_excess_lo_kwh;slope_excess_hi_kwh;not_recoverable_by_visit_kwh;slope_excess_pct;step_kwh_day;rank_in_era;beta_meas;beta_phys;n_days
120701;1976_1990;USES_LESS_THAN_MODELLED;-950.0;-1880.6757254053778;-691.3175060655556;1588.0;-31.260684862143098;7.173392128078227;;1.5396075125207815;2.239777206731103;576
706646;2001_2010;INCONCLUSIVE;913.0;-459.9257141664361;1583.5777702121268;2939.0;36.11149509805459;7.997366056225572;;2.5308650858215893;1.8594058378378377;939
1078861;pre1975;INCONCLUSIVE;1405.0;-2635.2960974542184;4144.348488286201;1424.0;61.530102524047685;9.437382970547828;;2.7148020708513547;1.680678727017579;393
190821;post2010;INCONCLUSIVE;128.0;-394.71649553080755;156.69672552913826;41.0;12.220524967332837;4.509663773158914;;0.8660866848837199;0.7717720845948955;1292
105898;1976_1990;INCONCLUSIVE;759.0;-695.7098640554074;1368.44051716952;851.0;31.670307455270883;20.877266821094203;;2.3245020080121863;1.7653957471025365;789
1178890;2001_2010;INCONCLUSIVE;138.0;-1402.36893215995;1013.6255383777843;683.0;5.039547405959161;2.984728246386876;;2.1190182846127676;2.0173528322843386;180
731201;1976_1990;INCONCLUSIVE;1161.0;-2192.7992011195024;2607.09077644239;2502.0;19.545862149085817;15.861698987454245;;3.6379934911862337;3.0431780956577876;539
1228011;2001_2010;INCONCLUSIVE;402.0;-410.2147005825305;998.5529401445336;2103.0;26.939776141400227;10.83304356987911;;1.3954393646093188;1.0992924416810983;678
114117;1991_2000;SLOPE_EXCESS;1712.0;312.52318513102546;2535.563562177362;1714.0;59.10845154860941;3.053096084655858;8.0;3.3900771626701443;2.130670702702702;340
8627071;2001_2010;INCONCLUSIVE;1608.0;-2396.1202215732465;3907.005384363493;2570.0;76.31271866763086;-4.254369476167065;;2.8055134703101485;1.5912144577606193;270
867211;1991_2000;USES_LESS_THAN_MODELLED;-845.0;-1959.6352203271763;-818.1572833966491;1988.0;-35.99358682600105;6.887692435387333;;1.1062543762546313;1.7283492722007743;718
1114677;post2010;SLOPE_EXCESS;5377.0;3485.0790875319367;6069.767280419301;1969.0;160.94572960828435;3.791073987314387;1.0;4.465151744189421;1.7111419109606552;500
611797;1976_1990;SLOPE_EXCESS;3021.0;1245.2635757896965;3732.6497050112853;2339.0;90.10539045717006;6.967924001781565;5.0;4.812260032650262;2.5313643243243247;1130
1137376;1976_1990;INCONCLUSIVE;1597.0;-80.09113458647856;1886.1100624712467;4440.0;65.48890098419439;11.834282505617521;;2.969880917965977;1.794610333565286;1670
700831;1976_1990;INCONCLUSIVE;1637.0;-1026.4616474775023;2148.4567186766712;4196.0;29.327943721484285;29.06471603724084;;5.307543688063889;4.103941913353244;836
1191127;2001_2010;SLOPE_EXCESS;2125.0;699.8184328694422;2793.5748739764804;246.0;143.02428003950473;6.6572861904742915;3.0;2.7271507500286973;1.1221721342350592;296
121798;1976_1990;SLOPE_EXCESS;2575.0;1135.9749554379996;2726.7668158482747;2381.0;120.31360855807308;13.328032543021669;6.0;3.4749885480499643;1.5772918299479364;424
114671;pre1975;INCONCLUSIVE;340.0;-1254.8243964514668;846.2494209845554;2213.0;9.256039235031894;12.676458948869906;;3.0298852054672105;2.773197002821339;571
1121037;2001_2010;SLOPE_EXCESS;2404.0;1768.3355802343801;2648.358778742611;201.0;208.37322619341617;11.720300733486743;1.0;2.617688850073459;0.8488703388379141;683
9880798;1991_2000;SLOPE_EXCESS;2972.0;2346.014548035661;3088.172851562917;2859.0;255.38788714671398;4.767384759407393;2.0;3.0482848201570127;0.8577345853373433;561
680861;1991_2000;SLOPE_EXCESS;3912.0;78.62823031818706;5271.228305135627;371.0;161.15648506626655;28.039177386880976;9.0;4.6721584086271974;1.7890263791234866;452
468185;1976_1990;INCONCLUSIVE;312.0;-1474.854760766427;863.421995919301;2446.0;11.477573350148582;6.901612686497668;;2.231524709940645;2.0017700806344925;1457
781007;1976_1990;USES_LESS_THAN_MODELLED;-369.0;-1479.4616739375317;-381.55833222079747;967.0;-17.009489610488902;2.6622492970246103;;1.3270465652602468;1.5990341052631578;1451
761079;1976_1990;INCONCLUSIVE;1164.0;-144.4568180104249;1287.430469452964;2076.0;32.23307125598604;8.065877927646753;;3.520261219071208;2.6621639999999998;1377
461089;1976_1990;USES_LESS_THAN_MODELLED;-565.0;-1885.6147127998213;-651.4103641146445;1184.0;-21.447307424957927;6.196337094980526;;1.524412188265294;1.9406237243987654;1426
114109;1976_1990;INCONCLUSIVE;608.0;-859.0434837712158;1051.476279307663;1608.0;21.61726779413169;17.399154653322743;;2.519272514211167;2.0714759999999997;1381
107114;1976_1990;INCONCLUSIVE;441.0;-996.2897045008369;781.6764426363368;664.0;23.795320194734426;12.124428176407681;;1.689135767291396;1.3644584986204047;1378
671048;2001_2010;SLOPE_EXCESS;1181.0;101.76794596090119;1511.0069361531946;1647.0;46.228102579488024;0.3103192873928468;10.0;2.7539765055841756;1.8833428438197395;712
109711;1991_2000;INCONCLUSIVE;289.0;-539.6354640407029;419.04894441709683;1498.0;22.22396678378569;9.052114187026827;;1.1693165080290018;0.9566998509363747;712
7610179;1991_2000;INCONCLUSIVE;876.0;-907.1186575554376;1412.6552033800147;3400.0;19.575518284997234;4.727686004968738;;2.7416957355355964;2.2928570788219518;1135
6569121;2001_2010;INCONCLUSIVE;784.0;-352.65509493883746;1014.0428357898392;2304.0;29.648766269499045;3.0010817238247904;;1.7563376189094888;1.3546890336454223;719
5011111;pre1975;USES_LESS_THAN_MODELLED;-1320.0;-4504.655558556362;-1529.2949983427807;4788.0;-15.798421735569656;12.7957982392643;;3.603607047779793;4.279738126122608;1150
5661171;2001_2010;SLOPE_EXCESS;2032.0;472.9596284078689;2771.8441463013423;479.0;80.8009045472908;12.913883493609331;5.0;3.2474012284636355;1.7961200120070395;561
