dU_tb;ratio_pre1975;ratio_1976_1990;ratio_1991_2000;ratio_2001_2010;ratio_post2010;range;pre_post_phys;phys_over_meas_median;spearman_m2
0.0;0.9662366166669133;1.2579892062983828;1.2421542188505297;1.52780024856824;1.3063715110294851;0.5615636319013267;3.375470681238266;0.7778899150785361;0.536154963659037
0.05;0.9287309081570709;1.1916483102137527;1.1666486881010723;1.4200073850928119;1.1885684171547721;0.49127647693574095;3.1951070805830986;0.8204779017255498;0.5406665220215874
0.1;0.8939352078780066;1.1348617457363839;1.0997965068608306;1.326206398084582;1.0902539012657453;0.43227119020657534;3.044897921956621;0.871398603457322;0.5436734414738883
0.15;0.861142600025679;1.0832411918704057;1.0401907155464671;1.2433957962998479;1.0069613330400253;0.38225319627416887;2.9193680517558267;0.9321240918212761;0.5458431402159408
