Household_ID;era;area;footprint;n_above;has_basement;A_wall;A_roof;huell_b05;huell_sia;H_b05;H_sia;Tbal_b05;Tbal_sia;Pdes_b05;Pdes_sia
120701;1986 - 90;236.0;110.0;2;True;226.54271120475275;110.0;1.6590792847659015;1.65;428.3785689638022;426.6644;17.245427093016623;17.234360307539134;54.454902834381635;54.237
412211;1991 - 95;300.0;100.0;3;False;324.0;100.0;1.58;1.65;407.07000000000005;418.62;16.31513007590832;16.41679805073814;40.70700000000001;41.862
706646;2000 - 10;160.0;100.0;3;False;324.0;100.0;2.9625;1.4;267.664;167.664;17.0111781935561;15.228552342780798;50.187;31.437
1078861;< 1975;160.0;70.0;1;True;90.35928286568017;70.0;1.220995517910501;2.0;341.7990318686682;510.06399999999996;17.659443341233953;18.43156937168669;64.08731847537528;95.63699999999999
190821;> 2010;155.0;45.0;3;True;217.34580741297958;45.0;1.837714886535352;1.4;143.98749377911508;127.7045;14.61758809977696;13.931302342517295;27.86854718305453;24.717
105898;1981 - 85;160.0;80.0;2;False;193.19627325598185;80.0;1.9574767078498865;1.65;328.6210186047855;289.264;17.5655848083104;17.234360307539134;61.61644098839728;54.237
889410;2000 - 10;240.0;176.0;2;False;286.55638188670656;176.0;2.2939849245279436;1.4;337.31855275468257;251.49599999999998;16.442531873209152;15.228552342780798;42.16481909433532;31.436999999999998
1178890;2000 - 10;210.0;100.0;2;True;216.0;100.0;1.7428571428571429;1.4;248.85899999999998;220.05899999999997;15.780743312478151;15.228552342780798;35.55128571428571;31.436999999999994
731201;1976 - 80;255.0;120.0;2;True;236.6161448422318;120.0;1.6337888033028698;1.65;457.70741587378546;461.0145;17.214377666208524;17.234360307539134;53.847931279268884;54.236999999999995
1228011;2000 - 10;120.0;60.0;2;False;167.31288055616042;60.0;2.1442740046346698;1.4;161.47315222246414;125.74799999999999;16.284212008363035;15.228552342780798;40.368288055616034;31.436999999999998
114117;1991 - 95;260.0;100.0;3;False;324.0;100.0;1.823076923076923;1.65;387.55400000000003;362.804;16.645628738188744;16.41679805073814;44.717769230769235;41.861999999999995
758039;1986 - 90;150.0;65.0;3;False;261.217151044873;65.0;2.3914476736324866;1.65;360.1587208358984;271.185;17.917584785232155;17.234360307539134;72.03174416717968;54.237
8627071;2000 - 10;250.0;150.0;2;False;264.5448922205832;150.0;1.958179568882333;1.4;317.7929568882333;261.97499999999997;16.066621449890658;15.228552342780798;38.13515482658799;31.436999999999998
867211;1991 - 95;245.0;150.0;2;True;264.5448922205832;150.0;1.9981424172268702;1.65;388.78519072132076;341.873;16.849159820806875;16.41679805073814;47.60634988424336;41.862
1114677;> 2010;220.0;140.0;2;False;255.57464662990344;140.0;2.1162483937722882;1.4;219.07591519117682;181.25799999999998;14.978909484230233;13.931302342517295;29.873988435160474;24.717
611797;1976 - 80;275.0;100.0;2;True;216.0;100.0;1.3309090909090908;1.65;426.97249999999997;497.1725;16.779652085321654;17.234360307539134;46.57881818181818;54.237
1137376;1981 - 85;200.0;150.0;1;True;132.2724461102916;150.0;1.7863622305514582;1.65;383.3979568882333;361.58;17.391744055924857;17.234360307539134;57.509693533234994;54.236999999999995
779742;< 1975;650.0;325.0;2;False;389.3995377501109;325.0;1.3490762119232476;2.0;1500.9493759626498;2072.135;17.834703786784562;18.43156937168669;69.27458658289153;95.637
700831;1976 - 80;450.0;300.0;2;False;374.12297443487756;300.0;1.831384387633061;1.65;878.853379547902;813.555;17.439845994382544;17.234360307539134;58.59022530319347;54.236999999999995
1191127;2000 - 10;220.0;85.0;2;True;199.1421602775264;85.0;1.4847370921705745;1.4;237.99486411101057;230.53799999999998;15.37805152178866;15.228552342780798;32.4538451060469;31.436999999999998
121798;1981 - 85;207.0;34.0;2;True;125.94856092865851;34.0;0.8548239658389299;1.65;242.5541487429268;374.2353;15.732911577212583;17.234360307539134;35.15277518013432;54.236999999999995
114671;< 1975;260.0;130.0;2;False;246.27789182141382;130.0;1.6972226608515917;2.0;722.5791539589088;828.854;18.200889144286155;18.43156937168669;83.37451776448948;95.63700000000001
1121037;2000 - 10;150.0;75.0;2;False;187.06148721743878;75.0;1.9970765814495917;1.4;193.0095948869755;157.18499999999997;16.114182818531937;15.228552342780798;38.601918977395094;31.436999999999994
120912;< 1975;300.0;100.0;3;False;324.0;100.0;1.58;2.0;786.2700000000001;956.37;18.0922583845244;18.43156937168669;78.62700000000001;95.637
9880798;1991 - 95;150.0;50.0;3;False;229.10259710444143;50.0;2.027350647362943;1.65;240.4414284074428;209.31;16.880737213351274;16.41679805073814;48.08828568148856;41.862
680861;1991 - 95;400.0;150.0;2;True;264.5448922205832;150.0;1.2238622305514582;1.65;464.4096907213208;558.16;15.69345765181256;16.41679805073814;34.830726804099065;41.861999999999995
468185;1976 - 80;300.0;160.0;1;True;136.610394919274;160.0;1.2553679830642466;1.65;447.6583159354192;542.37;16.64923012350251;17.234360307539134;44.76583159354192;54.237
674801;1995 - 00;150.0;50.0;3;False;229.10259710444143;50.0;2.027350647362943;1.65;240.4414284074428;209.31;16.880737213351274;16.41679805073814;48.08828568148856;41.862
781007;1986 - 90;200.0;100.0;2;False;216.0;100.0;1.83;1.65;390.38;361.58;17.43839336031559;17.234360307539134;58.556999999999995;54.236999999999995
761079;1976 - 80;250.0;100.0;3;False;324.0;100.0;1.896;1.65;501.17499999999995;451.97499999999997;17.505861226118622;17.234360307539134;60.14099999999999;54.236999999999995
107998;1976 - 80;230.0;115.0;2;False;231.63419436689395;115.0;1.757105192899539;1.65;435.52435549351515;415.817;17.35950473149343;17.234360307539134;56.80752462958893;54.237
461089;1976 - 80;235.0;110.0;2;True;226.54271120475275;110.0;1.6661391966159693;1.65;427.8906689638022;424.8565;17.25397143423242;17.234360307539134;54.62434071878326;54.237
711368;< 1975;250.0;85.0;3;False;298.7132404162896;85.0;1.7048529616651584;2.0;697.362874561991;796.975;18.207532913499136;18.43156937168669;83.68354494743892;95.637
114109;1976 - 80;200.0;100.0;2;False;216.0;100.0;1.83;1.65;390.38;361.58;17.43839336031559;17.234360307539134;58.556999999999995;54.236999999999995
107114;1976 - 80;185.0;85.0;2;True;199.1421602775264;85.0;1.76563329879744;1.65;351.5752282220211;334.4615;17.36898414408236;17.234360307539134;57.01219917113856;54.236999999999995
671048;2000 - 10;240.0;80.0;3;False;289.7944098839728;80.0;1.7074767078498865;1.4;281.0137639535891;251.49599999999998;15.729746532279513;15.228552342780798;35.126720494198636;31.436999999999998
109711;1995 - 00;160.0;160.0;1;False;136.610394919274;160.0;2.3538149682454623;1.65;285.1997172056007;223.26399999999998;17.194948130249095;16.41679805073814;53.47494697605013;41.861999999999995
7610179;1995 - 00;280.0;140.0;2;False;255.57464662990344;140.0;1.662766595106798;1.65;392.67805564644686;390.712;16.434738382069128;16.41679805073814;42.07264881926216;41.862
6569121;2000 - 10;150.0;65.0;2;True;174.14476736324866;65.0;1.810965115754991;1.4;181.84290694529943;157.18499999999997;15.875560875049093;15.228552342780798;36.368581389059884;31.436999999999994
5011111;< 1975;286.0;117.0;2;True;233.63972265006655;117.0;1.4305584708044286;2.0;691.8780255775898;911.7394;17.933161703168395;18.43156937168669;72.57461806757935;95.637
5661171;2000 - 10;250.0;10.0;2;False;68.305197459637;10.0;0.333220789838548;1.4;155.2970789838548;261.97499999999997;11.950911065558714;15.228552342780798;18.635649478062575;31.436999999999998
110119;2000 - 10;130.0;65.0;2;False;174.14476736324866;65.0;2.0895751335634514;1.4;172.08490694529948;136.22699999999998;16.222794831120112;15.228552342780798;39.71190160276142;31.436999999999998
102766;2000 - 10;216.0;66.0;2;True;175.47922954013677;66.0;1.2707371737969295;1.4;215.1780918160547;226.3464;14.980901675978986;15.2285523427808;29.88584608556315;31.436999999999998
105900;2000 - 10;240.0;120.0;2;False;236.6161448422318;120.0;1.7359006035092992;1.4;283.7424579368927;251.49599999999998;15.770812698510941;15.228552342780798;35.46780724211159;31.436999999999998
826780;< 1975;150.0;75.0;2;False;187.06148721743878;75.0;1.9970765814495917;2.0;477.59300774354233;478.185;18.429625250286882;18.43156937168669;95.51860154870846;95.637
698310;< 1975;200.0;60.0;3;False;250.96932083424065;60.0;1.7048466041712032;2.0;557.8885831262248;637.5799999999999;18.207527398398568;18.43156937168669;83.68328746893373;95.63699999999999
24611;< 1975;160.0;80.0;2;False;193.19627325598185;80.0;1.9574767078498865;2.0;500.87896889557555;510.06399999999996;18.40280776459036;18.43156937168669;93.91480666792042;95.63699999999999
6683113;< 1975;160.0;80.0;2;False;193.19627325598185;80.0;1.9574767078498865;2.0;500.87896889557555;510.06399999999996;18.40280776459036;18.43156937168669;93.91480666792042;95.63699999999999
896968;1976 - 80;200.0;110.0;2;False;226.54271120475275;110.0;1.957713556023764;1.65;410.8141689638022;361.58;17.565809371857103;17.234360307539134;61.62212534457033;54.236999999999995
9981041;2000 - 10;410.0;120.0;3;True;354.9242172633477;120.0;1.3046932128374336;1.4;414.0086869053391;429.63899999999995;15.04841307721468;15.228552342780798;30.293318554049204;31.436999999999994
111710;1991 - 95;290.0;290.0;1;False;183.91737275200515;290.0;2.1341978370758796;1.65;481.8955550136028;404.666;16.99104923273453;16.41679805073814;49.85126431175202;41.862
1027273;2000 - 10;200.0;80.0;2;True;193.19627325598185;80.0;1.5659813662799094;1.4;222.85850930239275;209.57999999999998;15.512848025725965;15.228552342780798;33.428776395358916;31.436999999999998
118117;1981 - 85;212.0;20.0;3;False;144.8972049419864;20.0;0.8249868157640867;1.65;243.35256395358908;383.2748;15.644179856670187;17.234360307539134;34.43668357833808;54.237
6981151;< 1975;240.0;70.0;3;True;271.07784859704054;70.0;1.5669910358210022;2.0;624.8010956060048;765.096;18.07938877117989;18.43156937168669;78.1001369507506;95.637
876511;1995 - 00;500.0;250.0;2;False;341.525987298185;250.0;1.43305197459637;1.65;638.0392930140017;697.6999999999999;16.08174601882217;16.41679805073814;38.2823575808401;41.861999999999995
7412010;2000 - 10;250.0;108.0;2;True;224.47378466092653;108.0;1.545895138643706;1.4;276.5645138643706;261.97499999999997;15.480258900413343;15.228552342780798;33.18774166372447;31.436999999999998
7101112;> 2010;200.0;100.0;2;False;216.0;100.0;1.83;1.4;185.41999999999996;164.77999999999997;14.606838528745548;13.931302342517295;27.81299999999999;24.717
6810910;1976 - 80;160.0;60.0;3;False;250.96932083424065;60.0;2.131058255214004;1.65;350.8394566673925;289.264;17.71975476304985;17.234360307539134;65.7823981251361;54.237
9889190;< 1975;200.0;80.0;3;True;289.7944098839728;80.0;2.0489720494198638;2.0;650.8024533433631;637.5799999999999;18.4634354175177;18.43156937168669;97.62036800150446;95.63699999999999
6808461;> 2010;207.0;69.0;3;False;269.1346131585457;69.0;1.8001672133263076;1.4;190.42760715805093;170.54729999999998;14.564863700981277;13.931302342517295;27.598203935949414;24.716999999999995
747511;1991 - 95;168.0;53.0;2;False;157.2503736084592;53.0;1.4092284143360667;1.65;212.17990548465258;234.4272;16.041095418148544;16.41679805073814;37.88926883654511;41.862
6773102;< 1975;200.0;100.0;2;False;216.0;100.0;1.83;2.0;591.6800000000001;637.5799999999999;18.3098972417523;18.43156937168669;88.75200000000001;95.63699999999999
4710670;< 1975;300.0;150.0;1;True;132.2724461102916;150.0;1.190908153700972;2.0;628.6878022488937;956.37;17.614078093078447;18.43156937168669;62.86878022488936;95.637
716869;1981 - 85;155.0;70.0;3;False;271.07784859704054;70.0;2.426308700626068;1.65;376.48677887763245;280.22450000000003;17.941494778885996;17.234360307539134;72.86840881502563;54.237
115508;< 1975;170.0;110.0;1;True;113.27135560237637;110.0;1.6368903270728024;2.0;458.6093300632082;541.943;18.146570633696335;18.43156937168669;80.9310582464485;95.637
781099;1981 - 85;150.0;75.0;2;False;187.06148721743878;75.0;1.9970765814495917;1.65;312.834189773951;271.185;17.602563835679412;17.234360307539134;62.566837954790195;54.237
105768;< 1975;294.0;130.0;2;False;246.27789182141382;130.0;1.5009452102769179;2.0;739.1677539589086;937.2426;18.01127688251168;18.43156937168669;75.42528101621517;95.637
8010411;> 2010;375.0;150.0;3;False;396.8173383308748;150.0;1.6581795688823329;1.4;332.1986611994099;308.9625;14.355787006394682;13.931302342517295;26.575892895952794;24.717
7086681;2000 - 10;180.0;90.0;2;False;204.915592378911;90.0;1.8884199576606167;1.4;223.7882369515644;188.62199999999996;15.978340898253773;15.228552342780798;37.2980394919274;31.436999999999994
868122;1986 - 90;280.0;140.0;2;False;255.57464662990344;140.0;1.662766595106798;1.65;509.0717173039228;506.212;17.249896326170912;17.234360307539134;54.54339828256316;54.237
881223;1976 - 80;240.0;120.0;1;True;118.3080724211159;120.0;1.2429503017546495;1.65;355.7424579368927;433.896;16.62677318035264;17.234360307539134;44.46780724211159;54.237
118708;1991 - 95;186.0;66.0;1;True;87.73961477006839;66.0;1.0039764234949913;1.65;193.45618812353763;259.5444;15.19270999278597;16.41679805073814;31.20261098766736;41.862
1037610;> 2010;222.0;90.0;2;True;204.915592378911;90.0;1.5311513170221216;1.4;189.89354217093862;182.9058;14.154619544666776;13.931302342517295;25.661289482559273;24.717
6885841;> 2010;170.0;75.0;3;False;280.5922308261582;75.0;2.3123072401538716;1.4;177.28513539827793;140.063;15.205463796553264;13.931302342517295;31.28561212910787;24.716999999999995
2794690;1976 - 80;140.0;70.0;2;False;180.71856573136034;70.0;2.040846898081145;1.65;296.8808525850883;253.106;17.642151745709587;17.234360307539134;63.617325553947495;54.237
111119;1981 - 85;180.0;100.0;2;True;216.0;100.0;2.033333333333333;1.65;380.622;325.422;17.6354493434431;17.234360307539134;63.437;54.237
