Household_ID;hp_type;hp_install_year;era;unit_age_years;unit_recommendation;term_vintage_kwh;vintage_factor;visit_status;curve_first
468980;air-source;2022.0;pre1975;2.0;KEEP_IN_LIFE;0.0;1.0;SLOPE_EXCESS;False
103721;ground-source;2004.0;2001_2010;20.0;KEEP_IN_LIFE;209.47253736177112;0.827388888888889;INCONCLUSIVE;False
821088;ground-source;2019.0;1991_2000;5.0;KEEP_IN_LIFE;0.0;1.0;SLOPE_EXCESS;False
121887;air-source;2007.0;2001_2010;17.0;PLAN_REPLACEMENT;;;;False
796869;air-source;2019.0;2001_2010;5.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
727690;ground-source;2013.0;1976_1990;11.0;KEEP_IN_LIFE;74.9533204713083;0.9468888888888889;INCONCLUSIVE;False
669010;air-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
9889114;air-source;2021.0;pre1975;3.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
7984107;air-source;2011.0;pre1975;13.0;PLAN_REPLACEMENT;130.71833959577165;0.9313333333333333;INCONCLUSIVE;False
721077;ground-source;2009.0;1976_1990;15.0;KEEP_IN_LIFE;170.1162602344099;0.8937777777777778;INCONCLUSIVE;False
658466;ground-source;2020.0;1976_1990;4.0;KEEP_IN_LIFE;0.0;1.0;BELOW_PHYSICS;False
461158;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;;;;False
112120;air-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
1159664;air-source;2013.0;pre1975;11.0;KEEP_IN_LIFE;90.6847026631612;0.9542222222222222;INCONCLUSIVE;False
122887;air-source;2018.0;2001_2010;6.0;KEEP_IN_LIFE;0.0;1.0;BELOW_PHYSICS;False
706817;air-source;2006.0;2001_2010;18.0;PLAN_REPLACEMENT;226.49385829772686;0.8741111111111112;INCONCLUSIVE;False
748773;ground-source;2016.0;1976_1990;8.0;KEEP_IN_LIFE;17.530382125835565;0.9867222222222223;BELOW_PHYSICS;False
877881;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;;;;False
100119;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
8087988;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;;False
5610182;air-source;1997.0;1991_2000;27.0;REPLACE_END_OF_LIFE;386.3299874227739;0.794;;False
113115;ground-source;2002.0;2001_2010;22.0;PLAN_REPLACEMENT;;;;False
757271;ground-source;2001.0;pre1975;23.0;PLAN_REPLACEMENT;;;;False
6901131;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;;False
7474976;air-source;2020.0;pre1975;4.0;KEEP_IN_LIFE;0.0;1.0;;False
1171127;air-source;2012.0;1976_1990;12.0;KEEP_IN_LIFE;;;;False
801031;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;;False
730976;air-source;1997.0;1991_2000;27.0;REPLACE_END_OF_LIFE;335.1445434052769;0.794;;False
104118;ground-source;2009.0;1976_1990;15.0;KEEP_IN_LIFE;137.11558281703086;0.8937777777777778;;False
119498;air-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;;False
767371;air-source;1998.0;1976_1990;26.0;REPLACE_END_OF_LIFE;440.89256773691244;0.794;;False
841211;air-source;;pre1975;;RECORD_INSTALL_YEAR;0.0;1.0;;False
611629;air-source;2019.0;pre1975;5.0;KEEP_IN_LIFE;0.0;1.0;;False
8190108;air-source;2007.0;2001_2010;17.0;PLAN_REPLACEMENT;200.68704294258887;0.8855555555555555;;False
105714;air-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;;False
698983;air-source;2023.0;pre1975;1.0;KEEP_IN_LIFE;0.0;1.0;;False
417510;air-source;2017.0;2001_2010;7.0;KEEP_IN_LIFE;;;;False
7646451;air-source;2019.0;post2010;5.0;KEEP_IN_LIFE;0.0;1.0;;False
477661;ground-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;;False
122671;air-source;2020.0;1976_1990;4.0;KEEP_IN_LIFE;;;;False
7747482;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;;False
100120;air-source;;1976_1990;;RECORD_INSTALL_YEAR;;;;False
776736;air-source;2020.0;pre1975;4.0;KEEP_IN_LIFE;0.0;1.0;;False
731027;ground-source;;1991_2000;;RECORD_INSTALL_YEAR;;;;False
7679818;air-source;;post2010;;RECORD_INSTALL_YEAR;;;;False
751108;ground-source;2023.0;1991_2000;1.0;KEEP_IN_LIFE;;;;False
816571;air-source;;1976_1990;;RECORD_INSTALL_YEAR;;;;False
310610;air-source;2006.0;1976_1990;18.0;PLAN_REPLACEMENT;222.77267559427602;0.8741111111111112;;False
8773113;air-source;2019.0;1976_1990;5.0;KEEP_IN_LIFE;0.0;1.0;;False
897731;air-source;;pre1975;;RECORD_INSTALL_YEAR;0.0;1.0;;False
9073879;air-source;2022.0;1976_1990;2.0;KEEP_IN_LIFE;;;;False
461222;air-source;;pre1975;;RECORD_INSTALL_YEAR;;;;False
468665;air-source;;pre1975;;RECORD_INSTALL_YEAR;;;;False
1191021;air-source;2009.0;pre1975;15.0;PLAN_REPLACEMENT;410.55062540082054;0.9084444444444445;;False
9097838;ground-source;;1976_1990;;RECORD_INSTALL_YEAR;0.0;1.0;;False
112691;air-source;;1991_2000;;RECORD_INSTALL_YEAR;;;;False
699801;air-source;2017.0;1976_1990;7.0;KEEP_IN_LIFE;0.0;1.0;;False
808410;air-source;;1991_2000;;RECORD_INSTALL_YEAR;;;;False
111901;air-source;2019.0;pre1975;5.0;KEEP_IN_LIFE;;;;False
7146661;air-source;2022.0;pre1975;2.0;KEEP_IN_LIFE;;;;False
876790;air-source;2005.0;2001_2010;19.0;PLAN_REPLACEMENT;288.0929166685887;0.8626666666666667;;False
1015877;air-source;2012.0;pre1975;12.0;KEEP_IN_LIFE;142.18781395860532;0.9427777777777778;;False
8280779;air-source;;pre1975;;RECORD_INSTALL_YEAR;;;;False
970979;air-source;2021.0;pre1975;3.0;KEEP_IN_LIFE;;;;False
1141047;air-source;2016.0;1991_2000;8.0;KEEP_IN_LIFE;20.00385711367102;0.9885555555555555;;False
