Household_ID;era;area;footprint;n_above;bsmt;huell;residents;hp_type;emitter;jaz;jaz_derived;H_as_built;H_reference;required_kW_phys;installed_kW;ratio_phys;E_as_built;E_reference;deficiency;term_envelope;term_emitter;term_dhw;kwh_yr;rank_in_era
700831;1976 - 80;450.0;300.0;2;False;1.831384387633061;2;ground-source;both;3.7642857142857147;True;878.853379547902;441.24408012298204;26.36560138643706;22.9;0.8685559515354037;9878.787150620154;4376.135916194938;5502.651234425216;4072.0324345795857;469.2405389760646;961.3782608695652;28040.31379186603;1.0
731201;1976 - 80;255.0;120.0;2;True;1.865765415893293;3;air-source;both;3.1;False;505.03064484223177;252.39667870320045;15.150919345266953;10.78;0.7115079787793603;9118.753297769226;4654.667340318036;4464.085957451191;4006.6169598224947;457.46899762869475;0.0;23025.539461966604;2.0
881223;1976 - 80;240.0;120.0;1;True;1.4894254526319743;2;air-source;radiator_only;2.8;False;403.0656869053391;213.25330722192027;12.091970607160173;17.0;1.4058916079347377;6949.279065587187;2960.9645057107896;3988.314559876397;2471.575607361744;555.3606916450888;961.3782608695652;16149.200733830845;3.0
468185;1976 - 80;300.0;160.0;1;True;1.48305197459637;2;ground-source;both;3.7642857142857147;True;502.30247390312877;266.052294349927;15.069074217093863;11.67;0.7744337728964089;6306.201272050477;2900.017344355677;3406.1839276948003;2166.0320403445585;278.77362648067617;961.3782608695652;7962.671466237942;4.0
6810910;1976 - 80;160.0;60.0;3;False;2.131058255214004;2;air-source;both;3.1;False;350.8394566673925;169.78474730441073;10.525183700021774;16.0;1.5201634913000996;6489.706522856765;3204.2309801934653;3285.4755426633;2967.448543816457;318.02699884684273;0.0;12321.326522617124;5.0
611797;1976 - 80;275.0;100.0;2;True;1.5272727272727273;2;air-source;floor_only;3.5;False;470.1725;247.15249999999997;14.105175000000001;35.0;2.48135879207454;6063.327571771601;3032.6904813097003;3030.6370904619002;2069.2588295923365;0.0;961.3782608695652;12082.345314159293;6.0
761079;1976 - 80;250.0;100.0;3;False;1.896;2;ground-source;radiator_only;3.3999999999999995;True;501.175;249.481;15.03525;;;5601.741616400159;2675.8217975150355;2925.9198188851233;2441.844804288973;484.0750145961507;0.0;10551.193100944081;7.0
8773113;1976 - 80;160.0;80.0;2;False;1.9574767078498865;1;air-source;radiator_only;2.8;False;328.6210186047855;162.3137975058591;9.858630558143565;8.69;0.8814611673242754;5073.982413886129;2228.5830871079024;2845.399326778226;2380.693772392555;464.7055543856714;0.0;10967.094299781182;8.0
768113;1976 - 80;150.0;75.0;2;False;1.9970765814495917;2;air-source;radiator_only;2.8;False;312.834189773951;153.767040061491;9.385025693218529;6.6;0.7032479415340392;4927.170351222256;2386.2019370058865;2540.968414216369;2129.2983647475066;411.67004946886306;0.0;6783.4630947136575;9.0
114109;1976 - 80;200.0;100.0;2;False;1.83;1;ground-source;radiator_only;3.3999999999999995;True;390.38;196.034;11.7114;10.4;0.8880236350905956;4031.4298728076806;1840.761681864276;2190.6681909434046;1822.9179878686407;367.75020307476507;0.0;13300.992083911236;10.0
1678757;1976 - 80;200.0;100.0;2;False;1.83;2;air-source;floor_only;3.5;False;390.38;196.034;11.7114;5.2;0.4440118175452978;4566.9592801626395;2661.515414315402;1905.4438658472377;1905.4438658472388;0.0;0.0;6469.38928670842;11.0
461089;1976 - 80;235.0;110.0;2;True;1.9071420808763446;2;ground-source;floor_only;4.25;False;473.19921120475277;235.2164866425981;14.195976336142582;9.74;0.6861099067347849;4331.689051917816;2525.105811840622;1806.5832400771938;1806.5832400771942;0.0;0.0;7985.784575736326;12.0
861116;1976 - 80;195.0;65.0;3;False;1.8395751335634511;2;air-source;floor_only;3.5;False;382.1142208358984;191.63541363107083;11.46342662507695;12.0;1.046807415659578;4273.414208189687;2511.816273352265;1761.5979348374221;1761.5979348374226;0.0;0.0;6772.111062271062;13.0
119498;1976 - 80;131.0;131.0;1;False;2.443600381193921;3;air-source;floor_only;3.5;False;320.0042199491229;150.02493383289257;9.600126598473688;12.6;1.312482691843174;4398.811942887177;2651.485460838994;1747.3264820481827;1747.326482048183;0.0;0.0;17770.565802752295;14.0
727690;1976 - 80;157.0;53.0;3;False;2.0087615312910114;2;ground-source;radiator_only;3.3999999999999995;True;328.90074833015103;161.43632575101327;9.86702244990453;10.6;1.0742855865400978;3583.3821786141484;1856.2169917373153;1727.165186876833;1447.9913737251131;279.17381315172037;0.0;8851.128817097417;15.0
896968;1976 - 80;200.0;110.0;2;False;1.957713556023764;2;air-source;floor_only;3.5;False;410.8141689638022;202.90498931407848;12.324425068914067;8.14;0.6604770571027728;3903.8129779072947;2302.3950003183263;1601.4179775889684;1601.4179775889693;0.0;0.0;3779.684287790698;16.0
2794690;1976 - 80;140.0;70.0;2;False;2.040846898081145;6;air-source;floor_only;3.5;False;296.8808525850883;145.16429418173595;8.90642557755265;5.0;0.5613924414977174;5297.522915227583;3724.0672298315494;1573.455685396034;1573.455685396034;0.0;0.0;8329.827355848434;17.0
