Household_ID;era;area_m2;residents;pv_level;n_days;hdd_per_day_raw;meas_kwh_day;pred_heat_kwh_day;pred_dhw_kwh_day;pred_appl_kwh_day;pred_noappl_kwh_day;pred_kwh_day;pred_lo_kwh_day;pred_hi_kwh_day;resid_noappl_kwh_yr;resid_kwh_yr;ratio_meas_pred;inside_band;above_band;band_rel_width
120701;1976_1990;236.0;2;False;576;3.52981418578905;25.68823263888889;9.4420375609749;2.02608695652174;7.838356164383562;11.468124517496639;19.306480681880203;18.523874099391687;23.506782596878875;5190.339464308172;2329.3394643081715;1.330549728982879;False;True;0.25809512254420447
706646;2001_2010;160.0;4;Unknown;939;3.790436125387785;24.291996805111822;6.957005451879744;9.320000000000002;11.09041095890411;16.277005451879745;27.367416410783854;26.876960392638708;31.05917404220286;2925.471843929708;-1122.5281560702915;0.8876247739461371;False;False;0.15281726220660682
1078861;pre1975;160.0;2;True;393;0.5341745952723385;20.22842748091603;1.518783614306736;2.0260869565217394;7.838356164383562;3.5448705708284756;11.383226735212038;10.55369492584549;14.5057470023405;6089.498272181957;3228.498272181957;1.7770380887119552;False;True;0.34718205728697504
190821;post2010;155.0;4;True;1292;3.9551401545744156;13.514768575851392;3.410123540416438;4.052173913043479;11.09041095890411;7.462297453459916;18.552708412364026;18.477719084460407;22.01287939621893;2209.1519596728886;-1838.8480403271117;0.728452594384806;False;False;0.19054685888355782
105898;1976_1990;160.0;2;Unknown;789;3.7449600944141364;39.92827249683143;7.63461837500132;2.02608695652174;7.838356164383562;9.66070533152306;17.499061495906624;16.195344893647526;21.38641380523933;11047.662015337555;8186.662015337555;2.2817379381272214;False;True;0.29664841813408654
1178890;2001_2010;210.0;1;Unknown;180;3.9353222222222226;26.44027222222222;7.2983541456;1.01304347826087;6.212328767123288;8.31139762386087;14.523726390984159;13.20984221238704;17.836672090024905;6617.039228401893;4349.539228401893;1.8204881798541352;False;True;0.31857043799104107
731201;1976_1990;255.0;3;Unknown;539;5.612336116264688;63.08366975881261;18.326089146501204;3.0391304347826082;9.464383561643835;21.36521958128381;30.829603142927645;26.807111578551957;41.09690658895864;15227.234314798012;11772.734314798012;2.0462044051087336;False;True;0.4635088860585862
1228011;2001_2010;120.0;3;False;678;3.1753181993074255;21.941836283185843;3.515853524239054;6.990000000000001;9.464383561643835;10.505853524239054;19.97023708588289;19.319122502170096;23.306748306279687;4174.133707015578;719.6337070155781;1.0987268798474452;True;False;0.19967844081973737
114117;1991_2000;260.0;2;Unknown;340;3.053833546462063;61.47519117647058;8.115602785820974;4.66;7.838356164383562;12.775602785820974;20.613958950204534;19.43130596992053;23.731216156487857;17775.349762587106;14914.349762587108;2.982211778192205;False;True;0.208592158204752
8627071;2001_2010;250.0;3;Unknown;270;3.314391975308642;81.64951851851852;6.715475961599781;6.989999999999998;9.464383561643835;13.70547596159978;23.169859523243616;22.2540185012981;26.98809918291764;24799.575533275343;21345.07553327534;3.523953972902127;False;True;0.20432064669491806
