Household_ID;era;renovated;area_m2;huellzahl;b_ground_en12831;live_W_m2;S0;S1;S2;D1;bench;r_S0;r_S1;r_S2;r_D1
120701;1976_1990;False;236.0;1.8990609703641566;0.4433593835818529;60.21446328873976;60.21446328873976;56.032463288739756;54.746406284349874;44.291406284349875;45.0;1.338099184194217;1.2451658508608834;1.216586806318886;0.9842534729855528
412211;1991_2000;False;300.0;1.58;0.4433593835818529;40.70700000000001;40.70700000000001;36.525000000000006;36.213476609700194;25.758476609700192;35.0;1.163057142857143;1.0435714285714288;1.0346707602771483;0.7359564745628626
706646;2001_2010;False;160.0;2.9625;0.44337695751623407;50.187000000000005;50.187;46.005;45.58032718137176;35.12532718137176;32.5;1.5442153846153845;1.4155384615384616;1.4024716055806694;1.080779297888362
1078861;pre1975;False;160.0;1.5033682768657517;0.44337695751623407;75.52341521306293;75.52341521306293;71.34141521306294;69.04303249620064;58.588032496200626;60.0;1.2587235868843822;1.1890235868843824;1.1507172082700106;0.9764672082700104
190821;post2010;False;155.0;2.0714200557966205;0.4433593835818529;29.551224401735663;29.551224401735663;25.36922440173567;25.060211492457405;14.605211492457409;25.0;1.1820489760694266;1.014768976069427;1.0024084596982963;0.5842084596982964
105898;1976_1990;True;160.0;1.9574767078498865;0.4433593835818529;55.74401086484761;55.74401086484761;51.562010864847615;50.967284392457074;40.51228439245707;45.0;1.2387557969966136;1.1458224636632803;1.1326063198323795;0.900272986499046
889410;2001_2010;False;240.0;2.2939849245279436;0.5737494323061776;42.16481909433533;42.16481909433533;37.982819094335326;38.63181409862969;28.17681409862969;32.5;1.2973790490564716;1.1687021259795485;1.1886712030347597;0.8669788953424521
1178890;2001_2010;False;210.0;2.0;0.4433593835818529;38.637;38.637;34.455;33.78178581628717;23.32678581628717;32.5;1.1888307692307691;1.060153846153846;1.0394395635780667;0.717747255885759
731201;1976_1990;True;255.0;1.865765415893293;0.5737494323061776;49.62010154799925;49.62010154799925;45.438101547999246;46.73038721381077;36.275387213810774;45.0;1.1026689232888722;1.0097355899555387;1.0384530491957948;0.8061197158624617
1228011;2001_2010;False;120.0;2.1442740046346698;0.44337695751623407;40.36828805561604;40.36828805561604;36.18628805561604;35.84654980071345;25.39154980071345;32.5;1.242101170942032;1.1134242478651089;1.1029707630988752;0.7812784554065677
