household_id;schema_version;generated_utc;phys_status;phys_status_reason;phys_no_result_reason;phys_no_result_is_fixable;phys_excess_confirmed;phys_era;phys_rank_in_era;phys_n_excess_confirmed_in_era;phys_deficiency_kwh_yr;phys_deficiency_lo_kwh_yr;phys_deficiency_hi_kwh_yr;phys_deficiency_band_kwh_yr;phys_rank_on;phys_deficiency_pct_of_reference;phys_deficiency_pct_lo;phys_deficiency_pct_hi;phys_term_envelope_kwh_yr;phys_term_emitter_kwh_yr;phys_term_dhw_kwh_yr;phys_scenario_capacity_lo_kwh_yr;phys_scenario_capacity_mid_kwh_yr;phys_scenario_capacity_hi_kwh_yr;phys_scenario_never_sum_into_total;phys_context_e_as_built_kwh_yr;phys_context_e_reference_kwh_yr;phys_level_is_not_a_prediction;phys_completeness_tier;phys_jaz_derived;phys_geometry_reconciles;phys_hdd_correction_extrapolated;phys_pv_level;phys_n_meter_days;visit_status;visit_technician_recoverable_kwh;visit_slope_excess_pct;visit_fault_axis_available;visit_fault_probability;visit_named_fault;visit_advisory_night_setback_prob;visit_in_training_set;visit_rank_in_era;visit_never_sum_with_phys_deficiency;setting_fault_flag;setting_fault_name
730976;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1991_2000;17.0;20.0;611.0;486.0;917.0;432.0;phys_deficiency_lo_kwh_yr;27.6;21.9;41.4;611.0;0.0;0.0;86.0;172.0;257.0;True;2825.0;2213.0;True;T1;False;True;True;PV;336.0;SLOPE_EXCESS;2596.0;151.3;False;;;;;5.0;True;;
104118;physical_baseline_v1;2026-09-10T23:31:55Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of its era by lower bound;;;True;1976_1990;6.0;62.0;2394.0;2185.0;2906.0;721.0;phys_deficiency_lo_kwh_yr;124.8;113.9;151.5;952.0;0.0;1442.0;0.0;0.0;0.0;True;4313.0;1919.0;True;T1;False;True;False;no PV;456.0;SLOPE_EXCESS;615.0;34.9;True;0.676;heating curve too high;0.515;True;35.0;True;True;heating curve too high
119498;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1976_1990;52.0;62.0;1133.0;660.0;1900.0;1240.0;phys_deficiency_lo_kwh_yr;48.4;28.2;81.1;1133.0;0.0;0.0;54.0;108.0;163.0;True;3474.0;2341.0;True;T2;False;True;False;no PV;436.0;SLOPE_EXCESS;2652.0;112.2;True;0.817;heating limit too high;0.125;True;8.0;True;True;heating limit too high
767371;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1976_1990;51.0;62.0;1170.0;663.0;1923.0;1260.0;phys_deficiency_lo_kwh_yr;53.9;30.5;88.5;1170.0;0.0;0.0;0.0;0.0;0.0;True;3342.0;2172.0;True;T2;False;True;False;no PV;425.0;SLOPE_EXCESS;74.0;2.8;True;0.365;;0.515;True;46.0;True;False;
841211;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;pre1975;36.0;37.0;2120.0;786.0;3497.0;2711.0;phys_deficiency_lo_kwh_yr;110.9;41.1;182.9;1969.0;151.0;0.0;91.0;182.0;274.0;True;4032.0;1912.0;True;T2;False;True;False;PV;715.0;SLOPE_EXCESS;3146.0;95.5;False;;;;;3.0;True;;
611629;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;pre1975;20.0;37.0;2823.0;1710.0;4516.0;2806.0;phys_deficiency_lo_kwh_yr;151.7;91.9;242.7;2543.0;280.0;0.0;0.0;0.0;0.0;True;4684.0;1861.0;True;T2;False;True;False;no PV;897.0;NO_SLOPE_EXCESS;-584.0;-14.8;True;0.916;heating curve too high;0.533;False;;True;True;heating curve too high
8190108;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;2001_2010;12.0;35.0;1764.0;1503.0;2103.0;601.0;phys_deficiency_lo_kwh_yr;74.1;63.1;88.4;322.0;0.0;1442.0;0.0;0.0;0.0;True;4144.0;2380.0;True;T1;False;True;False;no PV;760.0;SLOPE_EXCESS;1404.0;88.2;True;0.245;;0.194;False;16.0;True;False;
105714;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;1976_1990;48.0;62.0;1340.0;703.0;2068.0;1366.0;phys_deficiency_lo_kwh_yr;52.0;27.3;80.2;1340.0;0.0;0.0;0.0;0.0;0.0;True;3919.0;2579.0;True;T2;False;True;False;no PV;630.0;SLOPE_EXCESS;1335.0;47.5;True;0.754;heating limit too high;0.144;True;18.0;True;True;heating limit too high
698983;physical_baseline_v1;2026-09-10T23:31:55Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of its era by lower bound;;;True;pre1975;10.0;37.0;3841.0;2654.0;5375.0;2722.0;phys_deficiency_lo_kwh_yr;159.0;109.8;222.5;1685.0;234.0;1923.0;27.0;53.0;80.0;True;6257.0;2416.0;True;T2;False;True;True;PV;318.0;SLOPE_EXCESS;1002.0;35.1;True;0.932;heating limit too high;0.062;True;6.0;True;True;heating limit too high
417510;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
