Household_ID;n_days;n_warm;n_cold;a_12;b_12;r2_12;rmse_12;a_sia;b_sia;r2_sia;rmse_sia;r2_steponly;r2_hdd12_plus_step;d_r2;d_rmse
1060;632;303;329;17.316070754522585;3.4701278864642804;0.4479055804729628;17.15635611982295;13.79834386201511;2.021051456390905;0.47300405324949624;16.761852367892065;0.3677330329463533;0.4779879158671323;0.02509847277653343;-0.39450375193088405
10266;1091;481;610;10.826917229618225;5.086246988483473;0.5365916117346042;20.404423139280183;7.290234516347059;2.6851147814295144;0.4759240371439071;21.698988829666632;0.2931462086384271;0.5367890113426504;-0.06066757459069716;1.2945656903864489
11769;464;166;298;12.032062827220159;1.3651978616878955;0.7382707540775247;3.8664810681056925;10.139496578252182;0.8287616127782019;0.7524307531430833;3.7604351958695656;0.5235081148315175;0.7702057244007753;0.014159999065558537;-0.10604587223612683
24611;707;337;370;5.851221602482347;4.103971460550727;0.9313403601164769;4.851258891177805;2.841894659069471;2.1867511465846543;0.8282115663513152;7.673626396369753;0.49476927292068706;0.9325987484419613;-0.10312879376516171;2.8223675051919477
65651;471;155;316;2.6819760986772962;3.901608530652429;0.8529569268112385;7.487453549798322;-1.3860606435677383;2.1993998703733615;0.7539771448987328;9.684999058191885;0.41616507253197943;0.8531124211063947;-0.09897978191250567;2.1975455083935627
86109;1434;572;862;10.220953561481025;2.067195060522373;0.8337730509210066;4.272709842188302;8.256177943523921;1.179206277507699;0.8028375765473542;4.653339702124447;0.551093783451684;0.8449508854757453;-0.030935474373652405;0.3806298599361453
88721;406;166;240;21.738632661877638;1.927672971252817;0.7175620601960884;5.608212879408031;18.836689080054704;1.2088956805072233;0.8214412741160326;4.459164687186105;0.6796346453806006;0.8214442047657329;0.10387921391994426;-1.149048192221926
100101;1378;649;729;8.05917744045344;2.0288647750132545;0.47627756568636537;9.049398816703588;6.437875779708689;1.102421974266401;0.45702707782631424;9.214212536878351;0.3170583984973039;0.4839629579708816;-0.019250487860051124;0.16481372017476303
100105;364;170;194;12.918259112017152;3.4387528504508915;0.7086344427838814;9.315480681562802;9.581893752008655;1.9234357424496444;0.7175775549356163;9.171402804645549;0.5213928273608672;0.7393936621653441;0.008943112151734822;-0.14407787691725282
100119;274;137;137;18.631816207146684;3.064953834066589;0.7902472761262347;7.0902669607204265;15.633305276720117;1.8039410437714176;0.8542653599111348;5.910036718660954;0.697084188192952;0.857318602103796;0.06401808378490015;-1.1802302420594728
100120;792;340;452;9.50289830736381;3.269815535000333;0.8584196694803313;6.095884749047935;6.523306222539468;1.8404206171579252;0.8106091228169494;7.050417162882705;0.5298703803583309;0.8667885320564894;-0.047810546663381914;0.9545324138347704
100122;422;159;263;17.267503784181688;4.488036837301513;0.6707223887797888;15.309230793022683;9.972395027644442;2.8689124209678263;0.7496028654193648;13.350174623109675;0.5924000185565386;0.7500386067528959;0.07888047663957598;-1.9590561699130085
100167;522;203;319;16.52562516801803;2.0555712865012556;0.6452827938138921;7.004159389046849;14.406725959165872;1.1655046529701634;0.602593114694649;7.413658662533425;0.3750962409476887;0.6505069123744135;-0.04268967911924304;0.4094992734865759
100211;1031;473;558;29.86930798232183;3.486350834941419;0.7012102981530699;10.021739767243595;26.983265670885793;1.9241436437890422;0.6704204811297678;10.525443796457983;0.45892313252706995;0.7108441118552731;-0.03078981702330208;0.5037040292143882
100721;483;172;311;17.544302928454645;3.0195956593602733;0.6192513571494925;10.978371745327992;12.795032883520719;1.8848610366939518;0.6854975472182411;9.977707516588442;0.5426444749103887;0.6865246327698019;0.06624619006874854;-1.0006642287395504
100778;661;339;322;46.4838282881974;1.6169362400072433;0.6134913102208825;5.64453606521707;45.52053033497284;0.8626374403181802;0.5545016602842914;6.059986629251101;0.35763276090404605;0.6141319838353703;-0.05898964993659117;0.4154505640340309
100847;473;183;290;17.555541677096027;2.5745216354423825;0.15454597694985284;28.33808285502989;14.353695498831282;1.5427157141201657;0.15914818070031445;28.260848852078087;0.1163976787272949;0.1620015030746147;0.004602203750461609;-0.07723400295180127
100871;481;175;306;17.27399432929307;0.06921865075989767;0.006265031565666268;4.0579504353358145;16.937559746194;0.06753604894833867;0.01697705330370103;4.036019722389698;0.02894856423193337;0.032192665878639226;0.01071202173803476;-0.021930712946116593
100888;619;288;331;5.565027464343126;1.8792625194129244;0.45159653531705546;9.258315174756222;3.8001144491373697;1.0678130578171052;0.44955356869099317;9.275544137914;0.3205200221180188;0.4655204233100747;-0.0020429666260622925;0.017228963157778665
101101;512;195;317;27.762043687066406;3.9894822474529583;0.7053470035831857;11.925142150459598;21.812046912700126;2.4705955845874668;0.7803743411101085;10.295552851829289;0.6184533367490255;0.7817513394320503;0.07502733752692281;-1.629589298630309
101102;426;171;255;14.401437730806002;2.6598929401818117;0.8462923257189097;5.164798637943513;11.487099234236709;1.5371108749543883;0.838259779937296;5.298032685772978;0.5824433220633405;0.8701017223030564;-0.00803254578161372;0.13323404782946469
101105;679;331;348;17.642792149004826;2.821962748869351;0.6282354274611827;9.521364487819158;14.732301492032958;1.634858399195213;0.6592378034837267;9.115718274753164;0.4974963154794789;0.6690924515372378;0.031002376022544076;-0.40564621306599413
101574;381;170;211;3.3287917945133465;0.2788820058547941;0.07944356910231076;4.334140575739332;3.037046750363023;0.16125995534398663;0.07941243437705248;4.334213868983806;0.05560164185926775;0.08212600766483724;-3.113472525828609e-05;7.329324447358232e-05
101707;448;166;282;9.041863903031484;0.6287809389352492;0.1479952398680464;7.207258581852284;7.950059479541404;0.40606948837484197;0.17071142863270827;7.110529352000982;0.13983186587393182;0.17073833888719625;0.02271618876466186;-0.09672922985130228
101708;457;166;291;39.23401701025455;0.8059506313507789;0.051348499954991356;16.563799687768377;38.31968668422172;0.4688544058997809;0.04794580319506092;16.59347925789374;0.029034259299265397;0.05171664126262776;-0.0034026967599304347;0.029679570125363597
