Household_ID;n_days;n_warm;n_cold;a_12;b_12;r2_12;rmse_12;a_sia;b_sia;r2_sia;rmse_sia;r2_steponly;r2_hdd12_plus_step;d_r2;d_rmse
24611;707;337;370;5.851221602482347;4.103971460550727;0.9313403601164769;4.851258891177805;2.841894659069471;2.1867511465846543;0.8282115663513152;7.673626396369753;0.49476927292068706;0.9325987484419613;-0.10312879376516171;2.8223675051919477
86109;634;266;368;9.910479647183967;2.125823935311118;0.8115568062650309;4.825090485802316;7.851856646621968;1.221293122681934;0.7796954237301997;5.217073958636763;0.522162068830605;0.8227138226719753;-0.03186138253483117;0.3919834728344469
100119;223;86;137;20.354655175528944;2.8811455637960024;0.7695637770294312;7.332420320688265;16.284293405675307;1.7630267703117102;0.8279516620125837;6.335738136403055;0.6310642591361679;0.8333080071089016;0.058387884983152505;-0.99668218428521
102766;719;277;442;22.183391182887917;4.317873450214468;0.5075014264341235;22.400893773814225;17.560809546969338;2.5908273340489205;0.4734768270787175;23.16176244358534;0.2858986177512246;0.5094549918666486;-0.03402459935540603;0.7608686697711136
103721;399;170;229;18.215931802151033;1.6201077891261253;0.5210752866433949;6.944798058767687;15.917931681304651;1.0010908344507923;0.6066033469289702;6.294211443062859;0.5201455266402469;0.6069469962543915;0.08552806028557536;-0.6505866157048281
105768;736;330;406;7.466355226541207;2.935396405626875;0.6710702296701243;9.115990695305754;4.62790827745569;1.658551961289192;0.6607011437439607;9.258560742124244;0.4598803578366183;0.6890012387034776;-0.01036908592616359;0.14257004681848962
105807;782;339;443;15.233304389280441;5.047552908473475;0.8885475192142349;8.035797100167757;10.058192217199846;2.89261632472266;0.8875886160851796;8.070291836378692;0.6307928841306389;0.9175634558684409;-0.0009589031290553329;0.03449473621093446
105898;789;334;455;25.200989669141013;3.9325606832652684;0.7298996774496328;10.853019982310443;19.40341268969719;2.455598263115562;0.8513607383052826;8.0510925855927;0.7243883071212731;0.8518474659571222;0.12146106085564978;-2.8019273967177423
105900;537;202;335;22.161552612448745;2.8762439160322226;0.8690777270960288;6.424874106107248;19.24819248617882;1.7939241671653838;0.8341675942454146;7.230903314986579;0.5566781325735234;0.8735915072135875;-0.03491013285061417;0.8060292088793304
106100;497;181;316;10.997615037513931;1.8145378845241116;0.8120561095971063;4.049225191581817;8.890987971181673;1.0526173871848081;0.7769247266996627;4.411472138790429;0.4970000440084228;0.8239289622806021;-0.03513138289744355;0.36224694720861184
107114;1378;603;775;21.54062680950338;2.651889786743165;0.6356100497392403;9.083291975824107;18.174742309220687;1.6089203523470266;0.7112880482072308;8.085231520909247;0.5889473497707752;0.7116160068439208;0.0756779984679905;-0.9980604549148602
107461;408;175;233;12.551185846764668;2.8861254636255427;0.8052144803933469;6.494269570253417;9.774529557357948;1.6358269099349834;0.7710281541083652;7.041140660893717;0.5109817397265772;0.817002071214586;-0.03418632628498164;0.5468710906403
108511;779;334;445;25.004219754076473;3.575354703954911;0.7674486827969306;8.88645830054338;20.932821787218376;2.089338277805963;0.7886046231642456;8.472606722885487;0.5741118804994781;0.8056507217408189;0.02115594036731505;-0.4138515776578924
108987;512;151;361;16.96259054107317;2.621460076198335;0.7764571929821446;7.79497221782129;12.992233521887886;1.681073717076142;0.7452317311730887;8.321601019520628;0.4420325946928064;0.7837043753140233;-0.031225461809055832;0.5266288016993377
109104;696;334;362;24.547943036779042;3.062240364476265;0.7354276096163814;8.038776991953394;21.296708874933564;1.77330903902217;0.7688246666491868;7.514298905438545;0.5718781905243295;0.7820138393278566;0.03339705703280538;-0.5244780865148497
109711;712;339;373;11.502171451629405;1.9057432516806212;0.4863796535319199;8.454882477933634;9.079984144712338;1.1512744422826333;0.5605757261641511;7.820391363826339;0.46805342172339903;0.5606019574368124;0.07419607263223116;-0.6344911141072949
110119;719;339;380;13.551155177452246;1.8597716580646506;0.780233301074019;4.1141866017569075;11.810578514764547;1.0296363593653501;0.7854916505639016;4.064668611075163;0.569346642016379;0.8118166759775312;0.0052583494898825744;-0.04951799068174445
111119;798;335;463;11.037125441108675;1.8094846567763063;0.8196069375229665;3.8420037482638243;8.95514629482166;1.0580680232116921;0.8395006140609107;3.623969684677424;0.6085162844918578;0.8585490688298951;0.01989367653794416;-0.21803406358640043
111710;991;376;615;19.817886801975916;3.3032116962459357;0.6772164122298606;12.693317587822776;16.487379838883633;2.0100018341607186;0.6253289461819072;13.675540340105266;0.3728215224704997;0.6777690142455981;-0.05188746604795347;0.9822227522824907
112120;373;170;203;7.686055873279948;2.267095184604373;0.8854341429351039;3.443578360290944;5.641984837301255;1.2440449973691046;0.8634035626948806;3.7601230024071723;0.6004681039906887;0.9069713614176422;-0.022030580240223308;0.3165446421162281
112810;550;253;297;21.58823646627497;2.1250749366982604;0.6298137396916448;7.058418707887416;19.43065822187451;1.2053316191864196;0.6376522688725366;6.983289436607717;0.45823026572030345;0.6568416435108042;0.007838529180891785;-0.0751292712796987
114109;1381;612;769;21.83724191464896;3.9091139792957272;0.4438602699685885;19.73882461844376;17.008564349070177;2.359706027994614;0.4939702255409161;18.828571116390375;0.4070364241661272;0.4943849918826666;0.05010995557232756;-0.9102535020533864
114117;340;168;172;50.31700731898533;3.653828438164966;0.5067951893470657;15.064557406614444;47.811486779642166;1.9242235602065372;0.4635639615149275;15.710922924580697;0.3004607469737338;0.509218237866696;-0.043231227832138175;0.6463655179662524
114671;571;297;274;24.39564459705348;4.171429369424385;0.7669590430423651;8.82808856818135;20.405614703156132;2.2900585058943776;0.8147009965231502;7.872036442762423;0.6186079539773561;0.8294530493105987;0.04774195348078514;-0.9560521254189274
114721;770;334;436;14.870451251336709;4.2204697282512145;0.873627562071986;7.139779027052194;10.49571320026427;2.404438063521783;0.8657964168151311;7.357675747967894;0.6013822608382577;0.9002194397560769;-0.00783114525685491;0.21789672091570012
114798;680;317;363;24.91130236138644;2.848236428689276;0.620315097067335;9.739750607239671;21.75893365571352;1.6634024216010639;0.6634240093052459;9.170177425129372;0.5141903082475245;0.6695017644140278;0.04310891223791091;-0.5695731821102985
115508;788;324;464;12.384863976078709;3.153374468241979;0.8222804506998711;6.764809157431617;8.374762469130815;1.8982978340606187;0.8766188500326986;5.636536899734854;0.6715943479885895;0.8837630410026895;0.05433839933282747;-1.1282722576967625
