Household_ID;n_pre;warm_pre;cold_pre;a_pre;b_pre;hdd_pre;n_post;warm_post;cold_post;a_post;b_post;hdd_post;area_m2;footprint_m2;n_storeys_above;heated_basement;era_raw;era;renovation_count;residents;hp_type;dhw_electric;installed_kw;building_type;visit_date;pv;label_correctly_planned;label_sizing_direction;label_curve_too_high;label_limit_too_high;label_night_setback;label_curve_changed;emitter;storey_sum_m2;storey_reconciles;geometry_complete;n_days;hdd_per_day;deficiency;d_slope;d_slope_pct;lvl_pre;lvl_post;d_level_pct;changed
86109;800;306;494;10.499569151155677;2.0166526691467563;4.31576901268116;634;266;368;9.910479647183967;2.125823935311118;3.99377447080876;160.0;60.0;3;False;1981 - 85;1976_1990;1;2;air-source;False;8.0;single family house;2022-01-13;False;True;;True;True;False;True;floor_only;160.0;True;True;1434;4.173408803791967;1425.2920445156228;0.10917126616436157;5.413488789348729;18.361278160544092;18.197781392446842;-0.8904432832382149;True
103721;642;304;338;20.443748773494377;2.3507750307502615;3.317035746534833;399;170;229;18.215931802151033;1.6201077891261253;3.713124659474774;160.0;80.0;2;False;2000 - 10;2001_2010;0;2;ground-source;False;6.1;single family house;2023-01-25;False;True;;;False;False;False;floor_only;160.0;True;True;1041;3.4688508053850113;263.8055278128654;-0.7306672416241362;-31.081972203479637;29.60799878096542;24.531752169642544;-17.1448487581887;False
105768;422;144;278;13.652854764478358;2.9573246843516037;4.359707895459853;736;330;406;7.466355226541207;2.935396405626875;3.5092880631695023;294.0;164.0;2;False;< 1975;pre1975;2;1;ground-source;False;17.8;single family house;2021-12-03;True;False;;True;True;True;True;radiator_only;294.0;True;True;1158;3.819199262846987;4009.4498885681055;-0.021928278724728578;-0.7414904031593127;25.181675007227767;18.909690373593143;-24.906939795841254;True
105807;461;149;312;18.036742784143325;4.400646920165773;4.769362161652363;782;339;443;15.233304389280441;5.047552908473475;3.681842099410653;200.0;100.0;2;False;1981 - 85;1976_1990;1;2;ground-source;False;16.2;single family house;2022-01-04;False;False;;;True;False;False;both;200.0;True;True;1243;4.085178180419042;1590.196590225079;0.6469059883077017;14.70024748732472;35.192203448593006;34.91066022899487;-0.8000158899098164;False
106100;245;158;87;11.676684614379559;1.7332636155209389;1.4908392487429751;497;181;316;10.997615037513931;1.8145378845241116;4.262296926486455;140.0;60.0;3;False;1976 - 80;1976_1990;1;2;air-source;False;8.0;single family house;2022-10-19;False;True;;True;False;False;True;floor_only;140.0;True;True;742;3.3471929762881363;1107.145249154269;0.0812742690031727;4.689088738457445;18.433631108071715;18.0714007483054;-1.9650515823098003;True
109104;477;138;339;31.001083851900248;2.9145148898912123;5.239558578677118;696;334;362;24.547943036779042;3.062240364476265;3.2021582437947695;200.0;100.0;2;False;< 1975;pre1975;2;2;air-source;True;8.6;single family house;2022-03-31;False;True;;True;False;False;True;radiator_only;200.0;True;True;1173;4.030666308363295;4553.042679683557;0.14772547458505247;5.06861279375953;42.36301459902733;36.485766059373105;-13.873537082484138;True
111119;752;293;459;11.93887717292651;1.8838801438536072;4.232577850370028;798;335;463;11.037125441108675;1.8094846567763063;3.7650931677018633;180.0;100.0;2;True;1981 - 85;1976_1990;0;2;ground-source;False;8.65;single family house;2021-12-22;False;True;;False;True;False;True;floor_only;180.0;True;True;1550;3.991898639551192;1703.8163821141761;-0.07439548707730093;-3.949056277280985;19.282986412029228;18.091211673294232;-6.1804469145481296;True
112120;911;384;527;8.384765047360407;1.467898084818666;3.9490145325251755;373;170;203;7.686055873279948;2.267095184604373;3.296378657186152;136.0;70.0;2;False;1976 - 80;1976_1990;0;2;air-source;False;7.8;single family house;2023-02-20;False;True;;True;True;False;True;floor_only;136.0;True;True;1284;3.7594248273059736;1325.4847826621094;0.799197099785707;54.444999148863545;14.107211839928583;16.524088773356038;17.132208411209977;True
112810;301;94;207;21.682583471302795;2.984756192588562;4.705522846550147;550;253;297;21.58823646627497;2.1250749366982604;3.3155493412384716;180.0;80.0;2;True;1991 - 95;1991_2000;0;4;air-source;False;6.83;single family house;2022-07-01;True;True;;True;False;False;True;floor_only;180.0;True;True;851;3.8071850934109914;870.4509246327107;-0.8596812558903015;-28.802394581673813;33.31834257305704;29.872618318968932;-10.341823716268825;True
114721;750;297;453;15.237878496843614;4.840923774742149;4.247803613526569;770;334;436;14.870451251336709;4.2204697282512145;3.5886236118953514;140.0;80.0;2;False;1981 - 85;1976_1990;1;2;air-source;False;12.0;single family house;2022-01-19;False;True;;False;False;True;True;both;140.0;True;True;1520;3.913876902173913;1565.2476906059537;-0.6204540464909343;-12.816852224118788;34.109712321235;31.323510022474586;-8.168354727007957;True
