Household_ID;era;era_raw;tier;area_m2;E_as_built;E_as_built_lo;E_as_built_hi;E_reference;E_reference_lo;E_reference_hi;deficiency;deficiency_lo;deficiency_hi;term_envelope;term_envelope_lo;term_envelope_hi;term_emitter;term_emitter_lo;term_emitter_hi;term_dhw;term_dhw_lo;term_dhw_hi;H_as_built;H_as_built_lo;H_as_built_hi;design_kw;design_kw_lo;design_kw_hi;huellzahl;huellzahl_lo;huellzahl_hi;band_abs;band_rel;decisive;def_pct_of_ref
120701;1976_1990;1986 - 90;T1;236.0;4185.865448886273;3870.7920693105384;5090.53895013397;2454.405490561976;2341.2857284607685;2818.230877723232;1731.459958324297;1424.4862132035253;2453.131458604309;1731.459958324297;1428.737667812116;2440.8634120521083;0.0;-108.54193019702258;98.48636198398961;0.0;0.0;0.0;473.6871112047528;427.3694535184842;598.1722490498533;14.210613336142584;12.821083605554525;17.9451674714956;1.8990609703641566;1.7797200900239156;2.4198114823745533;1028.6452454007838;0.5940912698878144;True;70.54498390678923
412211;1991_2000;1991 - 95;T1;300.0;8516.782862251315;8056.581580460771;9554.308673795542;5972.049725363402;5620.641843319861;6592.326227184786;2544.733136887913;1932.1442337871138;3381.151044693228;2544.7331368879136;2040.1069731002065;3296.052183207202;0.0;-239.66783629319903;244.95069520058544;0.0;0.0;0.0;407.07000000000005;385.9423243966412;456.2139888908531;12.212100000000003;11.578269731899235;13.686419666725593;1.58;1.5025680525874479;1.8149049372425856;1449.0068109061142;0.5694140536395027;True;42.61071581638689
706646;2001_2010;2000 - 10;T1;160.0;5941.106989936106;5501.247695399359;6537.373075676847;3429.2696495844903;3196.6014885555032;3847.7710180668755;2511.837340351616;2075.0613628906376;2952.6328374409513;589.0808186124866;299.2508534905212;904.1142983723702;0.0;-87.92729415235105;85.7945298447913;1922.7565217391304;1628.2668053769642;2189.1605441777124;267.664;245.2344694267508;311.3913640590618;8.02992;7.357034082802524;9.341740921771857;2.9625;2.850491055660569;3.4009166172386336;877.5714745503137;0.34937432470347307;True;73.24700583565847
1078861;pre1975;< 1975;T2;160.0;1293.8777583523934;1178.6912012390871;1551.150888965541;896.7143886029412;799.711420805017;1023.6716825415303;397.16336974945216;317.76644844927085;615.1480636578584;357.86520738132566;295.1609037294832;543.8968651196019;39.29816236812659;13.38801834383011;81.99989593184804;0.0;0.0;0.0;402.79154780300235;363.5550358374053;539.850802103815;12.08374643409007;10.90665107512216;16.19552406311445;1.5033682768657517;1.3992988106397473;2.0418800143712175;297.38161520858756;0.7487639542291847;True;44.290955380812264
190821;post2010;> 2010;T1;155.0;2723.7385705128695;2489.21201296796;3109.5812016967166;2799.6443643940584;2600.914370873092;3156.2328991359113;-75.90579388118886;-262.9535362548765;103.86336881922666;-75.90579388118891;-244.3631146186828;78.31841475369146;0.0;-75.74059519994591;78.49572049675831;0.0;0.0;0.0;152.68132607563427;140.00098467433875;178.7827813370135;4.580439782269028;4.200029540230163;5.363483440110405;2.0714200557966205;1.971026895114042;2.5466685602267085;366.81690507410315;4.832528405516203;False;-2.711265575248074
105898;1976_1990;1981 - 85;T2;160.0;3526.157446005917;2995.1355521115397;4357.950961742903;2260.9052143380322;2124.792111061097;2509.860754163123;1265.2522316678846;691.109243036231;1994.555240871568;1265.252231667885;681.874248178806;1993.851219237529;0.0;-73.4565956148357;69.96372159717421;0.0;0.0;0.0;297.30139127918727;243.38310143386025;383.8142650329958;8.919041738375618;7.301493043015808;11.514427950989875;1.9574767078498865;1.8795486800338301;2.2824625738331505;1303.445997835337;1.0301866815260263;True;55.96219707239413
1178890;2001_2010;2000 - 10;T1;210.0;3033.6601327092176;2850.1796994056126;3627.3627970845077;2491.737928389218;2353.312517945789;2900.789245227894;541.9222043199998;301.96788486585706;902.3630902452525;541.9222043200002;322.4087963626016;873.2996125181559;0.0;-96.03124573602295;103.74312641320472;0.0;0.0;0.0;270.459;254.03024608285526;329.1097223214058;8.11377;7.620907382485657;9.873291669642175;2.0;1.9067194800326583;2.5936222332133076;600.3952053793954;1.1078992530537979;True;21.74876411141379
731201;1976_1990;1976 - 80;T2;255.0;7798.305147168591;5914.8685752448755;10754.689609119918;4654.667340318036;4423.17247425555;5331.739003324991;3143.6378068505555;1213.6038839361922;5787.990583539525;2686.1688092218615;777.2151406520425;5342.175990527958;457.46899762869475;287.06485243885294;685.5986449923031;0.0;0.0;0.0;421.7708631579936;304.54975708175414;611.590243249364;12.653125894739807;9.136492712452622;18.34770729748092;1.865765415893293;1.7787663180314695;2.4157061825956894;4574.386699603332;1.455125234095008;True;67.53732494738846
1228011;2001_2010;2000 - 10;T1;120.0;3834.6365363472546;3541.884586975563;4222.0260714787255;2124.679370539161;1965.2084432333886;2371.6779162704233;1709.9571658080936;1463.01675356349;1985.7199062678542;267.88977450374597;132.55439693241763;423.48786208411536;0.0;-45.20282312961306;46.292012195903226;1442.0673913043477;1239.0303908408155;1639.9199556053406;161.47315222246417;149.2784314158233;186.7658286468126;4.844194566673925;4.478352942474698;5.6029748594043784;2.1442740046346698;2.06299669639051;2.499372058071597;522.7031527043641;0.305682015407295;True;80.48071579732866
114117;1991_2000;1991 - 95;T1;260.0;4663.095016824655;4451.172857837014;5137.743552664689;2683.6738430424557;2545.014897410046;2938.804581740832;1979.4211737821997;1730.433015663966;2368.288418860799;1018.0429129126345;810.2489708666674;1333.014321553802;0.0;-93.35705096621152;83.28382393226566;961.3782608695652;829.8839256531562;1101.0054371989675;387.55400000000003;367.6802330384667;440.0657143128349;11.62662;11.030406991154;13.201971429385047;1.823076923076923;1.7550882865783428;2.0841190865650097;637.8554031968331;0.3222433970320951;True;73.75788898170086
758039;1976_1990;1986 - 90;T1;150.0;8387.279728119347;7672.120421124111;9670.375810380541;3889.6449185404763;3658.7115419034103;4337.663075610678;4497.634809578871;3772.1589795933405;5663.214221376057;3536.2565487093057;2849.953525864603;4620.731420077075;0.0;-144.88131003323696;148.94335884902972;961.3782608695652;823.4689853040869;1101.6013137192604;360.1587208358984;327.6592339435886;423.08064042327237;10.804761625076951;9.82977701830766;12.692419212698171;2.3914476736324866;2.2950715748161103;2.7554821214271907;1891.0552417827166;0.42045548868379173;True;115.63098698650705
8627071;2001_2010;2000 - 10;T2;250.0;5002.49872598392;4571.463901470022;5748.938244943303;2842.1903563823257;2668.9107829237437;3151.041393202032;2160.308369601594;1741.6071936447374;2789.8837767755444;494.63997859574016;268.98348662035295;797.2243544409524;223.60099970150605;-36.047707833225196;604.3601040134803;1442.0673913043477;1247.5659022568186;1641.4940157731842;317.7929568882333;298.8789499441849;367.6284075621315;9.533788706646998;8.966368498325547;11.028852226863945;1.958179568882333;1.895195066239956;2.300026619006189;1048.276583130807;0.48524395770596906;True;76.00857432896707
867211;1991_2000;1991 - 95;T2;245.0;4857.798124197809;4423.502765672228;6056.006933454706;2508.7184871412082;2359.5572619955033;2896.847616277103;2349.0796370566004;1900.644903982879;3319.080961226735;1159.4179248308067;917.3362279502849;1783.773428020364;228.28345135622862;-62.58269901735683;659.6894647729895;961.3782608695652;832.06520917974;1096.6947509660433;425.16011340165096;396.4590870910287;525.9549210202657;12.754803402049529;11.89377261273086;15.77864763060797;2.2680861847988942;2.132563722247429;2.900559974614361;1418.4360572438559;0.6038262964218437;True;93.63663755407953
1114677;post2010;> 2010;T1;220.0;6226.861648375767;5824.165146545117;6892.538067893295;5011.31631005984;4750.635772504155;5575.845146583115;1215.5453383159265;636.2354770391426;1749.7084711326386;-226.52205298842114;-712.6389421666718;193.08979046612035;0.0;-196.20411491124096;153.71495106244993;1442.0673913043477;1256.4150188776634;1644.6046319331274;219.07591519117682;203.88335255238434;251.0703060559977;6.572277455735304;6.11650057657153;7.53210918167993;2.1162483937722882;2.042038652122437;2.5029961645817598;1113.472994093496;0.9160275301916371;True;24.256009062445543
611797;1976_1990;1976 - 80;T2;275.0;5381.368447141358;4434.867126662998;6880.494715664011;3032.6904813097003;2874.3531498363377;3448.531104653234;2348.6779658316577;1343.8468261322803;3699.2006544209353;1387.2997049620935;398.27726528778476;2704.3526734851853;0.0;-105.06801168122139;109.20087907860133;961.3782608695652;835.3147431330916;1103.4137659103535;396.6725;299.2439022152135;556.5653413784671;11.900175;8.977317066456404;16.696960241354013;1.5272727272727273;1.4313597049420832;1.9492915772324049;2355.3538282886548;1.0028423915726705;True;77.44535686402641
1137376;1976_1990;1981 - 85;T1;200.0;7373.949259536372;6867.546276931009;8652.491770976005;3361.8845411256248;3151.666545083876;3908.2925545969592;4012.064718410747;3571.0812627652585;4929.510855316111;1608.6190662368333;1325.3145234285796;2465.556119024908;0.0;-92.1564820551635;91.78908859553977;2403.445652173913;2070.7446281537686;2725.6149377481647;436.30693533234995;393.6968814091627;586.3309487420427;13.089208059970499;11.810906442274879;17.58992846226128;2.117043345827187;1.9968524957911846;2.8557680463760153;1358.4295925508522;0.3385861614637541;True;119.33975332381371
